Date,AAPL,MSFT,DAL,TSLA
2019-10-25,60.790001,139.339996,139.339996,59.543999
2019-10-28,61.855000,144.399994,144.399994,65.508003
2019-10-29,62.242500,144.080002,144.080002,63.998001
2019-10-30,61.189999,143.520004,143.520004,62.599998
2019-10-31,61.810001,144.899994,144.899994,62.619999
2019-11-01,62.384998,144.259995,144.259995,63.264000
2019-11-04,64.332497,144.830002,144.830002,62.959999
2019-11-05,64.262497,144.970001,144.970001,63.924000
2019-11-06,64.192497,144.369995,144.369995,63.599998
2019-11-07,64.684998,143.839996,143.839996,65.828003
2019-11-08,64.672501,143.979996,143.979996,66.900002
2019-11-11,64.574997,145.339996,145.339996,68.790001
2019-11-12,65.387497,146.279999,146.279999,69.379997
2019-11-13,65.282501,146.740005,146.740005,71.000000
2019-11-14,65.937500,147.020004,147.020004,69.222000
2019-11-15,65.919998,148.929993,148.929993,70.127998
2019-11-18,66.449997,150.070007,150.070007,70.584000
2019-11-19,66.974998,150.880005,150.880005,70.349998
2019-11-20,66.385002,150.309998,150.309998,72.000000
2019-11-21,65.922501,149.399994,149.399994,70.902000
2019-11-22,65.647499,150.070007,150.070007,68.031998
2019-11-25,65.677498,150.000000,150.000000,68.863998
2019-11-26,66.735001,151.360001,151.360001,67.054001
2019-11-27,66.394997,152.330002,152.330002,66.223999
2019-11-29,66.650002,152.100006,152.100006,66.222000
2019-12-02,66.817497,151.809998,151.809998,65.879997
2019-12-03,64.577499,147.490005,147.490005,66.524002
2019-12-04,65.267502,150.139999,150.139999,67.550003
2019-12-05,65.947502,150.050003,150.050003,66.566002
2019-12-06,66.870003,150.990005,150.990005,67.000000
2019-12-09,67.500000,151.070007,151.070007,67.318001
2019-12-10,67.150002,151.289993,151.289993,67.991997
2019-12-11,67.202499,151.539993,151.539993,70.375999
2019-12-12,66.945000,151.649994,151.649994,70.984001
2019-12-13,67.864998,153.000000,153.000000,72.209999
2019-12-16,69.250000,155.110001,155.110001,72.510002
2019-12-17,69.892502,155.449997,155.449997,75.797997
2019-12-18,69.949997,154.300003,154.300003,76.125999
2019-12-19,69.875000,154.000000,154.000000,79.463997
2019-12-20,70.557503,157.350006,157.350006,82.057999
2019-12-23,70.132500,158.119995,158.119995,82.356003
2019-12-24,71.172501,157.479996,157.479996,83.671997
2019-12-26,71.205002,157.559998,157.559998,85.582001
2019-12-27,72.779999,159.449997,159.449997,87.000000
2019-12-30,72.364998,158.990005,158.990005,85.758003
2019-12-31,72.482498,156.770004,156.770004,81.000000
2020-01-02,74.059998,158.779999,158.779999,84.900002
2020-01-03,74.287498,158.320007,158.320007,88.099998
2020-01-06,73.447502,157.080002,157.080002,88.094002
2020-01-07,74.959999,159.320007,159.320007,92.279999
2020-01-08,74.290001,158.929993,158.929993,94.739998
2020-01-09,76.809998,161.839996,161.839996,99.419998
2020-01-10,77.650002,162.820007,162.820007,96.358002
2020-01-13,77.910004,161.759995,161.759995,98.699997
2020-01-14,79.175003,163.389999,163.389999,108.851997
2020-01-15,77.962502,162.619995,162.619995,105.952003
2020-01-16,78.397499,164.350006,164.350006,98.750000
2020-01-17,79.067497,167.419998,167.419998,101.522003
2020-01-21,79.297501,166.679993,166.679993,106.050003
2020-01-22,79.644997,167.399994,167.399994,114.377998
2020-01-23,79.480003,166.190002,166.190002,112.849998
2020-01-24,80.062500,167.509995,167.509995,114.125999
2020-01-27,77.514999,161.149994,161.149994,108.398003
2020-01-28,78.150002,163.779999,163.779999,113.697998
2020-01-29,81.112503,167.839996,167.839996,115.138000
2020-01-30,80.135002,174.050003,174.050003,126.484001
2020-01-31,80.232498,172.210007,172.210007,128.000000
2020-02-03,76.074997,170.429993,170.429993,134.738007
2020-02-04,78.827499,177.139999,177.139999,176.591995
2020-02-05,80.879997,184.029999,184.029999,164.651993
2020-02-06,80.642502,180.970001,180.970001,139.983994
2020-02-07,80.592499,182.850006,182.850006,146.110001
2020-02-10,78.544998,183.580002,183.580002,160.000000
2020-02-11,80.900002,190.649994,190.649994,153.757996
2020-02-12,80.367500,185.580002,185.580002,155.574005
2020-02-13,81.047501,183.080002,183.080002,148.367996
2020-02-14,81.184998,183.250000,183.250000,157.444000
2020-02-18,78.839996,185.610001,185.610001,168.320007
2020-02-19,80.000000,188.059998,188.059998,184.699997
2020-02-20,80.657501,186.949997,186.949997,182.389999
2020-02-21,79.654999,183.169998,183.169998,181.395996
2020-02-24,74.315002,167.770004,167.770004,167.800003
2020-02-25,75.237503,174.199997,174.199997,169.800003
2020-02-26,71.632500,169.710007,169.710007,156.500000
2020-02-27,70.275002,163.320007,163.320007,146.000000
2020-02-28,64.315002,152.410004,152.410004,125.940002
2020-03-02,70.570000,165.309998,165.309998,142.251999
2020-03-03,75.917503,173.800003,173.800003,161.000000
2020-03-04,74.110001,168.490005,168.490005,152.792007
2020-03-05,73.879997,166.050003,166.050003,144.753998
2020-03-06,70.500000,162.610001,162.610001,138.000000
2020-03-09,65.937500,151.000000,151.000000,121.078003
2020-03-10,69.285004,158.160004,158.160004,131.886002
2020-03-11,69.347504,157.130005,157.130005,128.039993
2020-03-12,63.985001,145.300003,145.300003,116.178001
2020-03-13,66.222504,147.500000,147.500000,119.000000
2020-03-16,60.487499,140.000000,140.000000,93.900002
2020-03-17,61.877499,140.000000,140.000000,88.001999
2020-03-18,59.942501,138.000000,138.000000,77.800003
2020-03-19,61.847500,142.770004,142.770004,74.940002
2020-03-20,61.794998,146.000000,146.000000,87.639999
2020-03-23,57.020000,137.009995,137.009995,86.720001
2020-03-24,59.090000,143.750000,143.750000,95.459999
2020-03-25,62.687500,148.910004,148.910004,109.050003
2020-03-26,61.630001,148.399994,148.399994,109.477997
2020-03-27,63.187500,151.750000,151.750000,101.000000
2020-03-30,62.685001,152.440002,152.440002,102.052002
2020-03-31,63.900002,159.399994,159.399994,100.250000
2020-04-01,61.625000,153.000000,153.000000,100.800003
2020-04-02,60.084999,151.860001,151.860001,96.206001
2020-04-03,60.700001,155.100006,155.100006,101.900002
2020-04-06,62.724998,160.320007,160.320007,102.239998
2020-04-07,67.699997,169.589996,169.589996,109.000000
2020-04-08,65.684998,165.669998,165.669998,110.839996
2020-04-09,67.175003,166.360001,166.360001,112.417999
2020-04-13,67.077499,164.350006,164.350006,118.031998
2020-04-14,70.000000,169.000000,169.000000,139.794006
2020-04-15,70.599998,171.199997,171.199997,148.399994
2020-04-16,71.845001,174.300003,174.300003,143.388000
2020-04-17,71.172501,179.500000,179.500000,154.455994
2020-04-20,69.487503,176.630005,176.630005,146.539993
2020-04-21,69.070000,173.500000,173.500000,146.024002
2020-04-22,68.402496,171.389999,171.389999,140.796005
2020-04-23,68.967499,174.110001,174.110001,145.520004
2020-04-24,69.300003,172.059998,172.059998,142.162003
2020-04-27,70.449997,176.589996,176.589996,147.522003
2020-04-28,71.269997,175.589996,175.589996,159.128006
2020-04-29,71.182503,173.220001,173.220001,158.033997
2020-04-30,72.489998,180.000000,180.000000,171.037994
2020-05-01,71.562500,175.800003,175.800003,151.000000
2020-05-04,72.292503,174.490005,174.490005,140.199997
2020-05-05,73.764999,180.619995,180.619995,157.957993
2020-05-06,75.114998,182.080002,182.080002,155.300003
2020-05-07,75.805000,184.169998,184.169998,155.442001
2020-05-08,76.410004,184.979996,184.979996,158.753998
2020-05-11,77.025002,183.149994,183.149994,158.102005
2020-05-12,79.457497,186.800003,186.800003,165.399994
2020-05-13,78.037498,182.550003,182.550003,164.166000
2020-05-14,76.127502,177.539993,177.539993,156.000000
2020-05-15,75.087502,179.059998,179.059998,158.070007
2020-05-18,78.292503,185.750000,185.750000,165.556000
2020-05-19,78.757500,185.029999,185.029999,163.033997
2020-05-20,79.169998,184.809998,184.809998,164.100006
2020-05-21,79.665001,185.399994,185.399994,163.199997
2020-05-22,78.942497,183.190002,183.190002,164.434006
2020-05-26,80.875000,186.339996,186.339996,166.899994
2020-05-27,79.035004,180.199997,180.199997,164.171997
2020-05-28,79.192497,180.740005,180.740005,162.701996
2020-05-29,79.812500,182.729996,182.729996,161.750000
2020-06-01,79.437500,182.539993,182.539993,171.600006
2020-06-02,80.187500,184.250000,184.250000,178.940002
2020-06-03,81.165001,184.820007,184.820007,177.623993
2020-06-04,81.097504,184.300003,184.300003,177.975998
2020-06-05,80.837502,182.619995,182.619995,175.567993
2020-06-08,82.562500,185.940002,185.940002,183.800003
2020-06-09,83.035004,188.000000,188.000000,188.001999
2020-06-10,86.974998,191.130005,191.130005,198.376007
2020-06-11,87.327499,193.130005,193.130005,198.039993
2020-06-12,86.180000,190.539993,190.539993,196.000000
2020-06-15,83.312500,184.580002,184.580002,183.557999
2020-06-16,87.864998,192.889999,192.889999,202.369995
2020-06-17,88.787498,195.029999,195.029999,197.542007
2020-06-18,87.852501,194.000000,194.000000,200.600006
2020-06-19,88.660004,198.589996,198.589996,202.556000
2020-06-22,87.834999,195.789993,195.789993,199.990005
2020-06-23,91.000000,202.089996,202.089996,199.776001
2020-06-24,91.250000,201.600006,201.600006,198.822006
2020-06-25,90.175003,197.800003,197.800003,190.854004
2020-06-26,91.102501,199.729996,199.729996,198.955994
2020-06-29,88.312500,195.779999,195.779999,193.802002
2020-06-30,90.019997,197.880005,197.880005,201.300003
2020-07-01,91.279999,203.139999,203.139999,216.600006
2020-07-02,91.962502,205.679993,205.679993,244.296005
2020-07-06,92.500000,208.830002,208.830002,255.337997
2020-07-07,93.852501,210.449997,210.449997,281.002014
2020-07-08,94.180000,210.070007,210.070007,281.000000
2020-07-09,96.262497,216.330002,216.330002,279.398010
2020-07-10,95.334999,213.619995,213.619995,279.200012
2020-07-13,97.264999,214.479996,214.479996,331.799988
2020-07-14,94.839996,206.130005,206.130005,311.200012
2020-07-15,98.989998,209.559998,209.559998,308.600006
2020-07-16,96.562500,205.399994,205.399994,295.432007
2020-07-17,96.987503,204.470001,204.470001,302.690002
2020-07-20,96.417503,205.000000,205.000000,303.802002
2020-07-21,99.172501,213.660004,213.660004,327.985992
2020-07-22,96.692497,209.199997,209.199997,319.799988
2020-07-23,96.997498,207.190002,207.190002,335.790009
2020-07-24,90.987503,200.419998,200.419998,283.201996
2020-07-27,93.709999,201.470001,201.470001,287.000000
2020-07-28,94.367500,203.610001,203.610001,300.799988
2020-07-29,93.750000,202.500000,202.500000,300.200012
2020-07-30,94.187500,201.000000,201.000000,297.600006
2020-07-31,102.885002,204.399994,204.399994,303.000000
2020-08-03,108.199997,211.520004,211.520004,289.839996
2020-08-04,109.132500,214.169998,214.169998,299.002014
2020-08-05,109.377502,214.899994,214.899994,298.597992
2020-08-06,110.404999,212.339996,212.339996,298.165985
2020-08-07,113.205002,214.850006,214.850006,299.907990
2020-08-10,112.599998,211.669998,211.669998,289.600006
2020-08-11,111.970001,207.160004,207.160004,279.200012
2020-08-12,110.497498,205.289993,205.289993,294.000000
2020-08-13,114.430000,209.440002,209.440002,322.200012
2020-08-14,114.830002,208.759995,208.759995,332.997986
2020-08-17,116.062500,209.600006,209.600006,335.399994
2020-08-18,114.352501,210.529999,210.529999,379.798004
2020-08-19,115.982498,211.490005,211.490005,373.000000
2020-08-20,115.750000,209.539993,209.539993,372.135986
2020-08-21,119.262497,213.860001,213.860001,408.951996
2020-08-24,128.697495,214.789993,214.789993,425.256012
2020-08-25,124.697502,213.100006,213.100006,394.977997
2020-08-26,126.180000,217.880005,217.880005,412.000000
2020-08-27,127.142502,222.889999,222.889999,436.092010
2020-08-28,126.012497,228.179993,228.179993,459.023987
2020-08-31,127.580002,227.000000,227.000000,444.609985
2020-09-01,132.759995,225.509995,225.509995,502.140015
2020-09-02,137.589996,227.970001,227.970001,478.989990
2020-09-03,126.910004,229.270004,229.270004,407.230011
2020-09-04,120.070000,215.100006,215.100006,402.809998
2020-09-08,113.949997,206.500000,206.500000,356.000000
2020-09-09,117.260002,207.600006,207.600006,356.600006
2020-09-10,120.360001,213.399994,213.399994,386.209991
2020-09-11,114.570000,207.199997,207.199997,381.940002
2020-09-14,114.720001,204.240005,204.240005,380.950012
2020-09-15,118.330002,208.419998,208.419998,436.559998
2020-09-16,115.230003,210.619995,210.619995,439.869995
2020-09-17,109.720001,200.050003,200.050003,415.600006
2020-09-18,110.400002,202.800003,202.800003,447.940002
2020-09-21,104.540001,197.190002,197.190002,453.130005
2020-09-22,112.680000,205.059998,205.059998,429.600006
2020-09-23,111.620003,207.899994,207.899994,405.160004
2020-09-24,105.169998,199.850006,199.850006,363.799988
2020-09-25,108.430000,203.550003,203.550003,393.470001
2020-09-28,115.010002,210.880005,210.880005,424.619995
2020-09-29,114.550003,209.350006,209.350006,416.000000
2020-09-30,113.790001,207.729996,207.729996,421.320007
2020-10-01,117.639999,213.490005,213.490005,440.760010
2020-10-02,112.889999,208.000000,208.000000,421.390015
2020-10-05,113.910004,207.220001,207.220001,423.350006
2020-10-06,115.699997,208.820007,208.820007,423.790009
2020-10-07,114.620003,207.059998,207.059998,419.869995
2020-10-08,116.250000,210.509995,210.509995,438.440002
2020-10-09,115.279999,211.229996,211.229996,430.130005
2020-10-12,120.059998,218.789993,218.789993,442.000000
2020-10-13,125.269997,222.720001,222.720001,443.350006
2020-10-14,121.000000,223.000000,223.000000,449.779999
2020-10-15,118.720001,217.100006,217.100006,450.309998
2020-10-16,121.279999,220.149994,220.149994,454.440002
2020-10-19,119.959999,220.419998,220.419998,446.239990
2020-10-20,116.199997,215.800003,215.800003,431.750000
2020-10-21,116.669998,213.119995,213.119995,422.700012
2020-10-22,117.449997,213.929993,213.929993,441.920013
2020-10-23,116.389999,215.029999,215.029999,421.839996